Paso;z;Ex;Hy
0;0;0;0
0;2.0202;0.0126592;0.0126592
0;4.0404;0.0251148;0.0251148
0;6.06061;0.0371662;0.0371662
0;8.08081;0.0486197;0.0486197
0;10.101;0.0592908;0.0592908
0;12.1212;0.0690079;0.0690079
0;14.1414;0.0776146;0.0776146
0;16.1616;0.0849725;0.0849725
0;18.1818;0.0909632;0.0909632
0;20.202;0.0954902;0.0954902
0;22.2222;0.0984808;0.0984808
0;24.2424;0.0998867;0.0998867
0;26.2626;0.0996855;0.0996855
0;28.2828;0.0978802;0.0978802
0;30.303;0.0945001;0.0945001
0;32.3232;0.0895994;0.0895994
0;34.3434;0.083257;0.083257
0;36.3636;0.075575;0.075575
0;38.3838;0.0666769;0.0666769
0;40.404;0.056706;0.056706
0;42.4242;0.0458227;0.0458227
0;44.4444;0.034202;0.034202
0;46.4646;0.0220311;0.0220311
0;48.4848;0.0095056;0.0095056
0;50.5051;-0.00317279;-0.00317279
0;52.5253;-0.0158001;-0.0158001
0;54.5455;-0.0281733;-0.0281733
0;56.5657;-0.0400931;-0.0400931
0;58.5859;-0.0513677;-0.0513677
0;60.6061;-0.0618159;-0.0618159
0;62.6263;-0.0712694;-0.0712694
0;64.6465;-0.0795762;-0.0795762
0;66.6667;-0.0866025;-0.0866025
0;68.6869;-0.0922354;-0.0922354
0;70.7071;-0.0963842;-0.0963842
0;72.7273;-0.0989821;-0.0989821
0;74.7475;-0.0999874;-0.0999874
0;76.7677;-0.0993838;-0.0993838
0;78.7879;-0.0971812;-0.0971812
0;80.8081;-0.0934148;-0.0934148
0;82.8283;-0.0881453;-0.0881453
0;84.8485;-0.0814576;-0.0814576
0;86.8687;-0.0734592;-0.0734592
0;88.8889;-0.0642788;-0.0642788
0;90.9091;-0.0540641;-0.0540641
0;92.9293;-0.0429795;-0.0429795
0;94.9495;-0.0312033;-0.0312033
0;96.9697;-0.0189251;-0.0189251
0;98.9899;-0.00634239;-0.00634239
0;101.01;0.00634239;0.00634239
0;103.03;0.0189251;0.0189251
0;105.051;0.0312033;0.0312033
0;107.071;0.0429795;0.0429795
0;109.091;0.0540641;0.0540641
0;111.111;0.0642788;0.0642788
0;113.131;0.0734592;0.0734592
0;115.152;0.0814576;0.0814576
0;117.172;0.0881453;0.0881453
0;119.192;0.0934148;0.0934148
0;121.212;0.0971812;0.0971812
0;123.232;0.0993838;0.0993838
0;125.253;0.0999874;0.0999874
0;127.273;0.0989821;0.0989821
0;129.293;0.0963842;0.0963842
0;131.313;0.0922354;0.0922354
0;133.333;0.0866025;0.0866025
0;135.354;0.0795762;0.0795762
0;137.374;0.0712694;0.0712694
0;139.394;0.0618159;0.0618159
0;141.414;0.0513677;0.0513677
0;143.434;0.0400931;0.0400931
0;145.455;0.0281733;0.0281733
0;147.475;0.0158001;0.0158001
0;149.495;0.00317279;0.00317279
0;151.515;-0.0095056;-0.0095056
0;153.535;-0.0220311;-0.0220311
0;155.556;-0.034202;-0.034202
0;157.576;-0.0458227;-0.0458227
0;159.596;-0.056706;-0.056706
0;161.616;-0.0666769;-0.0666769
0;163.636;-0.075575;-0.075575
0;165.657;-0.083257;-0.083257
0;167.677;-0.0895994;-0.0895994
0;169.697;-0.0945001;-0.0945001
0;171.717;-0.0978802;-0.0978802
0;173.737;-0.0996855;-0.0996855
0;175.758;-0.0998867;-0.0998867
0;177.778;-0.0984808;-0.0984808
0;179.798;-0.0954902;-0.0954902
0;181.818;-0.0909632;-0.0909632
0;183.838;-0.0849725;-0.0849725
0;185.859;-0.0776146;-0.0776146
0;187.879;-0.0690079;-0.0690079
0;189.899;-0.0592908;-0.0592908
0;191.919;-0.0486197;-0.0486197
0;193.939;-0.0371662;-0.0371662
0;195.96;-0.0251148;-0.0251148
0;197.98;-0.0126592;-0.0126592
0;200;-4.89843e-017;-4.89843e-017
1;0;-0.00126592;-0.00126592
1;2.0202;0.0114035;0.0114035
1;4.0404;0.0238894;0.0238894
1;6.06061;0.035991;0.035991
1;8.08081;0.0475134;0.0475134
1;10.101;0.0582714;0.0582714
1;12.1212;0.0680917;0.0680917
1;14.1414;0.0768164;0.0768164
1;16.1616;0.0843051;0.0843051
1;18.1818;0.0904373;0.0904373
1;20.202;0.0951143;0.0951143
1;22.2222;0.0982609;0.0982609
1;24.2424;0.0998265;0.0998265
1;26.2626;0.0997858;0.0997858
1;28.2828;0.0981395;0.0981395
1;30.303;0.0949141;0.0949141
1;32.3232;0.0901615;0.0901615
1;34.3434;0.0839582;0.0839582
1;36.3636;0.076404;0.076404
1;38.3838;0.0676203;0.0676203
1;40.404;0.0577487;0.0577487
1;42.4242;0.0469479;0.0469479
1;44.4444;0.0353916;0.0353916
1;46.4646;0.0232659;0.0232659
1;48.4848;0.0107658;0.0107658
1;50.5051;-0.00190751;-0.00190751
1;52.5253;-0.0145501;-0.0145501
1;54.5455;-0.0269586;-0.0269586
1;56.5657;-0.0389333;-0.0389333
1;58.5859;-0.0502816;-0.0502816
1;60.6061;-0.0608208;-0.0608208
1;62.6263;-0.0703814;-0.0703814
1;64.6465;-0.0788095;-0.0788095
1;66.6667;-0.0859696;-0.0859696
1;68.6869;-0.0917463;-0.0917463
1;70.7071;-0.0960469;-0.0960469
1;72.7273;-0.098802;-0.098802
1;74.7475;-0.0999673;-0.0999673
1;76.7677;-0.0995242;-0.0995242
1;78.7879;-0.0974796;-0.0974796
1;80.8081;-0.0938666;-0.0938666
1;82.8283;-0.0887432;-0.0887432
1;84.8485;-0.0821919;-0.0821919
1;86.8687;-0.0743181;-0.0743181
1;88.8889;-0.0652485;-0.0652485
1;90.9091;-0.055129;-0.055129
1;92.9293;-0.0441225;-0.0441225
1;94.9495;-0.0324061;-0.0324061
1;96.9697;-0.0201682;-0.0201682
1;98.9899;-0.00760577;-0.00760577
1;101.01;0.00507902;0.00507902
1;103.03;0.0176821;0.0176821
1;105.051;0.0300006;0.0300006
1;107.071;0.0418365;0.0418365
1;109.091;0.0529991;0.0529991
1;111.111;0.063309;0.063309
1;113.131;0.0726002;0.0726002
1;115.152;0.0807233;0.0807233
1;117.172;0.0875475;0.0875475
1;119.192;0.092963;0.092963
1;121.212;0.0968827;0.0968827
1;123.232;0.0992435;0.0992435
1;125.253;0.100007;0.100007
1;127.273;0.0991623;0.0991623
1;129.293;0.0967216;0.0967216
1;131.313;0.0927245;0.0927245
1;133.333;0.0872355;0.0872355
1;135.354;0.0803428;0.0803428
1;137.374;0.0721574;0.0721574
1;139.394;0.062811;0.062811
1;141.414;0.0524539;0.0524539
1;143.434;0.0412528;0.0412528
1;145.455;0.0293879;0.0293879
1;147.475;0.0170502;0.0170502
1;149.495;0.00443808;0.00443808
1;151.515;-0.00824541;-0.00824541
1;153.535;-0.0207962;-0.0207962
1;155.556;-0.0330124;-0.0330124
1;157.576;-0.0446975;-0.0446975
1;159.596;-0.0556633;-0.0556633
1;161.616;-0.0657335;-0.0657335
1;163.636;-0.074746;-0.074746
1;165.657;-0.0825558;-0.0825558
1;167.677;-0.0890372;-0.0890372
1;169.697;-0.094086;-0.094086
1;171.717;-0.097621;-0.097621
1;173.737;-0.0995852;-0.0995852
1;175.758;-0.099947;-0.099947
1;177.778;-0.0987006;-0.0987006
1;179.798;-0.0958661;-0.0958661
1;181.818;-0.0914891;-0.0914891
1;183.838;-0.08564;-0.08564
1;185.859;-0.0784129;-0.0784129
1;187.879;-0.0699241;-0.0699241
1;189.899;-0.0603102;-0.0603102
1;191.919;-0.0497259;-0.0497259
